post_text,post_comment
"Dear Singtel, your internet service is slow as hell. I can't even load a google search page. Stop throttling the internet.",
I have been waiting for 3 day no one can handle my Singtel TV problems. The staff who tell me to sign up a new contract is giving me the wrong information. Just don't understand how this can happen.,
"What wrong??
Singtel",
"Hi Singtel, this is very disappointing. I tried to pre-order the new Samsung Galaxy S10+ on 23 Feb, Sat but was unable to self serve online since my contract is now under CIS and I would like to recontract as a normal user. Your CSO took my particulars and promised to arrange for a call in the next 1-2 working days.",
Jacqueline from causewaypoint provide good service and ans my question promptly 👍,https://www.facebook.com/singtel/posts/10156709771496677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Great service by Linda Soh at Singtel Waterway Point! She’s very helpful in advising us which phone to get for my dad. Thank you!,https://www.facebook.com/singtel/posts/10156709767776677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Guan Hong at waterway point did a wonderful presentation of explaining all the possible and affordable plans for me. He went to the extend of drafting out different options for me to choose. Most friendly, helpful and patient singtel staff I had met Thank you and keep up the good work!!",https://www.facebook.com/singtel/posts/10156709753941677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Dear Singtel customer service, if you still ever exist, I hope you really would pay good attention to this message. I have lodged complaints a few times regarding harassment of overseas robotic spam calls received over a period of few weeks non-stop every day but nothing had been done on your end. As a telco and a giant one, I am amazed at your customer service and support. If you call your own service 1688, you would be transferred to see if you want to access digital Helpde...",https://www.facebook.com/singtel/posts/10156709752886677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Syna@Waterway Point serve me very nice and patient. The guy beside her - Alex is nice too.,https://www.facebook.com/singtel/posts/10156709718581677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"data usage has suddenly increased by a tremendous amount (3-4 times the normal)
This is happening to my mum's hp line.",https://www.facebook.com/singtel/posts/10156709714091677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Guan hong was very helpful and quick to provide us service. He provided us very useful information and was wonderful.,https://www.facebook.com/singtel/posts/10156709708601677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"When I told your customer ""service"" genius that I moved house and hence I did not see physical letters about forgotten payment for that single month and that I have never missed in last 4 years ... the genius claimed that since I have ebill and SMS I should be ok and hence physical letter charge of 5 bucks stands.",https://www.facebook.com/singtel/posts/10156709689301677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Good service provided by Aalex Jong :),https://www.facebook.com/singtel/posts/10156709680686677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
